YEAR,MO,DY,HR,T2M,QV2M,WS2M
2018,1,8,5,8.01,6.9,2.57
2018,1,8,6,7.7,6.71,2.46
2018,1,8,7,8.77,6.71,3.22
2018,1,8,8,10.8,6.84,3.44
2018,1,8,9,13.64,6.9,3.28
2018,1,8,10,17.43,5.92,4.42
2018,1,8,11,19.37,5.37,4.52
2018,1,8,12,20.42,5.13,4.35
2018,1,8,13,20.98,4.94,4.44
2018,1,8,14,20.9,4.76,4.49
2018,1,8,15,19.94,4.88,3.72
2018,1,8,16,16.43,5.31,2.19
2018,1,8,17,13.73,5.19,2.28
2018,1,8,18,12.99,5.13,2.63
2018,1,8,19,12.19,5.07,2.97
2018,1,8,20,11.24,5.07,3.13
2018,1,8,21,10.25,5.19,3.06
2018,1,8,22,9.31,5.37,2.85
2018,1,8,23,8.49,5.55,2.69
2018,1,9,0,7.86,5.8,2.68
2018,1,9,1,7.35,5.98,2.66
2018,1,9,2,6.97,6.04,2.5
2018,1,9,3,6.68,6.04,2.38
2018,1,9,4,6.46,5.98,2.34
2018,1,9,5,6.24,5.92,2.19
2018,1,9,6,6.04,5.92,2
2018,1,9,7,7.6,6.1,2.5
2018,1,9,8,10.13,6.47,3.16
2018,1,9,9,13.27,7.08,3.51
2018,1,9,10,16.45,7.08,3.96
2018,1,9,11,18.51,6.65,3.63
2018,1,9,12,19.86,6.35,3.38
2018,1,9,13,20.63,6.16,3.27
2018,1,9,14,20.7,6.16,3.15
2018,1,9,15,19.98,6.29,2.71
2018,1,9,16,16.51,6.77,1.4
2018,1,9,17,13.67,6.47,1.66
2018,1,9,18,13.02,6.53,2.04
2018,1,9,19,12.32,6.59,2.15
2018,1,9,20,11.63,6.65,2.34
2018,1,9,21,11.11,6.77,2.47
2018,1,9,22,10.11,6.9,2.42
2018,1,9,23,9.6,7.02,2.66
2018,1,10,0,9.26,7.08,2.58
2018,1,10,1,8.64,7.08,2.08
2018,1,10,2,8.62,7.08,1.82
2018,1,10,3,8.32,7.08,1.58
2018,1,10,4,7.4,6.96,1.47
2018,1,10,5,6.94,6.84,1.41
2018,1,10,6,6.72,6.65,1.35
2018,1,10,7,8.28,6.71,1.94
2018,1,10,8,10.34,6.9,2.83
2018,1,10,9,12.63,7.2,2.73
2018,1,10,10,15.46,7.32,2.89
2018,1,10,11,17.94,7.08,3.03
2018,1,10,12,19.62,6.77,2.79
2018,1,10,13,20.49,6.53,2.13
2018,1,10,14,20.35,6.77,1.11
2018,1,10,15,19.37,7.45,0.33
2018,1,10,16,17.89,7.2,0.34
2018,1,10,17,16.51,6.84,0.49
2018,1,10,18,15.67,6.77,0.59
2018,1,10,19,14.46,6.77,0.87
2018,1,10,20,12.47,6.77,1.2
2018,1,10,21,10.95,6.77,1.33
2018,1,10,22,10.01,6.77,1.38
2018,1,10,23,9.85,6.65,1.34
2018,1,11,0,10.3,6.47,1.15
2018,1,11,1,10,6.29,1.07
2018,1,11,2,8.71,6.1,1.27
2018,1,11,3,7.41,5.92,1.46
2018,1,11,4,6.72,5.74,1.64
2018,1,11,5,6.4,5.43,1.86
2018,1,11,6,6.21,5.19,2.08
2018,1,11,7,7.93,5,2.84
2018,1,11,8,10.66,4.88,4.02
2018,1,11,9,13.4,5,3.74
2018,1,11,10,16.76,4.76,4.44
2018,1,11,11,19.17,4.46,4.79
2018,1,11,12,20.87,4.09,4.81
2018,1,11,13,21.85,3.85,4.66
2018,1,11,14,21.95,3.85,4.3
2018,1,11,15,20.58,4.52,2.87
2018,1,11,16,16.32,5.13,1.73
2018,1,11,17,13.46,4.82,1.81
2018,1,11,18,12.55,4.7,1.87
2018,1,11,19,11.77,4.7,1.92
2018,1,11,20,11.08,4.7,1.92
2018,1,11,21,10.51,4.76,1.88
2018,1,11,22,10.05,4.94,1.88
2018,1,11,23,9.62,5.25,1.95
2018,1,12,0,9.11,5.43,1.98
2018,1,12,1,8.58,5.62,1.92
2018,1,12,2,8.11,5.86,1.79
2018,1,12,3,7.73,6.16,1.59
2018,1,12,4,7.43,6.59,1.34
2018,1,12,5,7.3,6.84,1.13
2018,1,12,6,7.26,6.96,1.02
2018,1,12,7,8.53,6.96,0.84
2018,1,12,8,11.47,7.02,1.46
2018,1,12,9,14.69,7.08,2.02
2018,1,12,10,17.68,6.9,2.59
2018,1,12,11,19.2,6.59,2.48
2018,1,12,12,19.97,6.35,2.25
2018,1,12,13,20.34,6.16,2.24
2018,1,12,14,20.25,6.04,2.33
2018,1,12,15,19.55,6.1,2.29
2018,1,12,16,16.55,6.71,1.2
2018,1,12,17,14.01,6.29,1.36
2018,1,12,18,13.22,6.29,1.41
2018,1,12,19,12.5,6.35,1.42
2018,1,12,20,11.77,6.47,1.41
2018,1,12,21,11.06,6.53,1.43
2018,1,12,22,10.37,6.65,1.46
2018,1,12,23,9.72,6.71,1.46
2018,1,13,0,9.15,6.77,1.45
2018,1,13,1,8.65,6.84,1.44
2018,1,13,2,8.22,7.02,1.41
2018,1,13,3,7.94,7.2,1.34
2018,1,13,4,7.7,7.32,1.28
2018,1,13,5,7.49,7.39,1.22
2018,1,13,6,7.58,7.26,1.11
2018,1,13,7,8.97,7.2,0.89
2018,1,13,8,11.15,7.2,0.99
2018,1,13,9,13.97,7.45,0.55
2018,1,13,10,17.28,7.32,0.3
2018,1,13,11,19.05,7.02,0.83
2018,1,13,12,19.74,6.9,1.68
2018,1,13,13,20.08,6.84,2.49
2018,1,13,14,20,6.84,2.95
2018,1,13,15,19.28,6.84,2.85
2018,1,13,16,16.99,7.2,1.51
2018,1,13,17,15.01,6.96,1.5
2018,1,13,18,14.43,6.84,1.72
2018,1,13,19,13.12,6.47,1.82
2018,1,13,20,11.62,5.98,1.75
2018,1,13,21,10.45,5.43,1.6
2018,1,13,22,9.56,5,1.46
2018,1,13,23,8.93,4.76,1.42
2018,1,14,0,8.46,4.52,1.55
2018,1,14,1,8.05,4.39,1.8
2018,1,14,2,7.61,4.33,2.16
2018,1,14,3,7.16,4.27,2.54
2018,1,14,4,6.56,4.15,2.58
2018,1,14,5,5.85,3.97,2.41
2018,1,14,6,5.3,3.78,2.3
2018,1,14,7,6.69,3.66,3.15
2018,1,14,8,8.85,3.66,3.71
2018,1,14,9,11.89,4.03,3.75
2018,1,14,10,15.62,5.31,5.36
2018,1,14,11,17.33,5.8,5.59
2018,1,14,12,18.22,5.8,5.59
2018,1,14,13,18.54,5.62,5.57
2018,1,14,14,18.36,5.37,5.4
2018,1,14,15,17.63,5.25,4.79
2018,1,14,16,15.26,5.37,2.75
2018,1,14,17,12.1,5.31,1.99
2018,1,14,18,11.23,5.19,1.99
2018,1,14,19,10.51,5.13,1.95
2018,1,14,20,9.86,5.07,1.92
2018,1,14,21,9.21,5,1.87
2018,1,14,22,8.63,4.94,1.82
2018,1,14,23,8.1,4.94,1.75
2018,1,15,0,7.67,4.88,1.69
2018,1,15,1,7.34,4.94,1.61
2018,1,15,2,7.13,5,1.55
2018,1,15,3,7,5.25,1.5
2018,1,15,4,6.88,5.55,1.41
2018,1,15,5,6.75,5.92,1.32
2018,1,15,6,6.72,6.23,1.23
2018,1,15,7,8.31,6.47,1.15
2018,1,15,8,11.19,6.65,2
2018,1,15,9,14.77,6.71,2.4
2018,1,15,10,17.43,6.59,2.89
2018,1,15,11,18.52,6.47,2.8
2018,1,15,12,19.06,6.41,2.81
2018,1,15,13,19.25,6.29,2.97
2018,1,15,14,18.99,6.29,3.18
2018,1,15,15,18.24,6.29,3.21
2018,1,15,16,16.04,6.53,1.88
2018,1,15,17,13.35,6.41,1.6
2018,1,15,18,12.73,6.29,1.91
2018,1,15,19,12.12,6.23,2.43
2018,1,15,20,11.44,6.23,3.07
2018,1,15,21,10.73,6.35,3.49
2018,1,15,22,9.84,6.53,3.22
2018,1,15,23,8.98,6.71,2.73
2018,1,16,0,8.27,6.84,2.32
2018,1,16,1,7.75,6.84,2.04
2018,1,16,2,7.27,6.84,1.78
2018,1,16,3,6.92,6.77,1.58
2018,1,16,4,6.69,6.71,1.43
2018,1,16,5,6.51,6.65,1.26
2018,1,16,6,6.38,6.53,1.1
2018,1,16,7,8.03,6.53,1.34
2018,1,16,8,10.15,6.59,1.59
2018,1,16,9,13.84,6.65,2.18
2018,1,16,10,16.51,6.29,2.46
2018,1,16,11,17.76,5.92,2.44
2018,1,16,12,18.53,5.62,2.68
2018,1,16,13,18.86,5.43,3
2018,1,16,14,18.67,5.31,3.02
2018,1,16,15,17.92,5.31,3.19
2018,1,16,16,15.38,5.62,1.91
2018,1,16,17,12.65,5.55,1.75
2018,1,16,18,11.73,5.49,2.04
2018,1,16,19,10.97,5.55,2.21
2018,1,16,20,11,5.74,2.3
2018,1,16,21,10.69,5.92,2.46
2018,1,16,22,10.17,6.04,2.54
2018,1,16,23,9.71,6.29,2.4
2018,1,17,0,9.09,6.41,1.88
2018,1,17,1,8.02,6.53,1.52
2018,1,17,2,7.33,6.59,1.36
2018,1,17,3,6.94,6.65,1.27
2018,1,17,4,6.69,6.71,1.23
2018,1,17,5,6.49,6.71,1.21
2018,1,17,6,6.31,6.71,1.24
2018,1,17,7,8.11,6.77,1.53
2018,1,17,8,10.9,6.9,2.68
2018,1,17,9,14.33,6.77,3.2
2018,1,17,10,16.9,6.29,3.91
2018,1,17,11,18.16,5.98,3.96
2018,1,17,12,18.87,5.86,3.91
2018,1,17,13,19.18,5.74,3.89
2018,1,17,14,19,5.68,3.79
2018,1,17,15,18.32,5.68,3.45
2018,1,17,16,15.84,6.1,1.68
2018,1,17,17,12.87,5.86,1.33
2018,1,17,18,12.06,5.74,1.35
2018,1,17,19,11.37,5.68,1.45
2018,1,17,20,10.74,5.62,1.57
2018,1,17,21,10.15,5.49,1.62
2018,1,17,22,9.54,5.31,1.6
2018,1,17,23,8.94,5.19,1.65
2018,1,18,0,8.4,5.07,1.72
2018,1,18,1,7.9,4.94,1.77
2018,1,18,2,7.44,4.88,1.87
2018,1,18,3,7.01,4.76,2.03
2018,1,18,4,6.63,4.64,2.26
2018,1,18,5,6.15,4.64,2.31
2018,1,18,6,5.59,4.64,2.22
2018,1,18,7,6.99,4.76,3.14
2018,1,18,8,9.11,4.82,3.45
2018,1,18,9,12.22,5,3.57
2018,1,18,10,16.33,4.88,5.83
2018,1,18,11,17.96,4.76,6.65
2018,1,18,12,18.73,4.46,7.06
2018,1,18,13,19.06,4.09,7.27
2018,1,18,14,18.96,3.91,7.32
2018,1,18,15,18.18,4.03,6.82
2018,1,18,16,16.33,4.39,5.35
2018,1,18,17,14.21,4.76,4.64
2018,1,18,18,13.75,5.19,4.69
2018,1,18,19,13.83,5.62,5
2018,1,18,20,13.85,6.1,5.23
2018,1,18,21,13.46,6.16,5.31
2018,1,18,22,12.25,5.92,4.76
2018,1,18,23,10.83,5.55,4.25
2018,1,19,0,9.7,5.25,3.81
2018,1,19,1,9.1,4.94,3.81
2018,1,19,2,8.34,4.76,3.3
2018,1,19,3,7.68,4.64,3.09
2018,1,19,4,6.99,4.58,2.69
2018,1,19,5,6.35,4.52,2.34
2018,1,19,6,5.95,4.52,2.22
2018,1,19,7,7.52,4.64,3.07
2018,1,19,8,10.05,4.76,3.8
2018,1,19,9,13.42,4.82,4.72
2018,1,19,10,15.27,4.82,5.43
2018,1,19,11,16.34,4.82,5.61
2018,1,19,12,17.07,4.82,5.65
2018,1,19,13,17.4,4.88,5.56
2018,1,19,14,17.3,4.88,5.35
2018,1,19,15,16.62,4.94,4.94
2018,1,19,16,14.65,5.13,3.24
2018,1,19,17,11.43,5.19,2.02
2018,1,19,18,10.44,5.25,2.02
2018,1,19,19,9.64,5.31,1.99
2018,1,19,20,8.85,5.31,1.84
2018,1,19,21,8.13,5.37,1.68
2018,1,19,22,7.51,5.43,1.57
2018,1,19,23,7,5.49,1.46
2018,1,20,0,6.57,5.49,1.35
2018,1,20,1,6.29,5.55,1.27
2018,1,20,2,6.15,5.55,1.21
2018,1,20,3,6.2,5.62,1.13
2018,1,20,4,6.38,5.62,0.99
2018,1,20,5,6.42,5.68,0.81
2018,1,20,6,6.18,5.68,0.64
2018,1,20,7,6.99,5.74,0.42
2018,1,20,8,9,5.8,0.7
2018,1,20,9,11.99,5.74,0.63
2018,1,20,10,14.58,5.49,0.62
2018,1,20,11,15.76,5.43,0.47
2018,1,20,12,16.69,5.31,0.36
2018,1,20,13,17.23,5.19,0.18
2018,1,20,14,17.3,5.07,0.18
2018,1,20,15,17.05,5,0.56
2018,1,20,16,15.72,5.49,0.4
2018,1,20,17,14.11,5.19,0.63
2018,1,20,18,13.26,5.07,0.81
2018,1,20,19,12.4,4.94,1.01
2018,1,20,20,11.26,4.88,1.18
2018,1,20,21,10.08,4.82,1.31
2018,1,20,22,9.2,4.76,1.38
2018,1,20,23,8.48,4.7,1.41
2018,1,21,0,7.84,4.58,1.41
2018,1,21,1,7.41,4.52,1.46
2018,1,21,2,7.12,4.46,1.53
2018,1,21,3,6.94,4.39,1.56
2018,1,21,4,6.75,4.33,1.53
2018,1,21,5,6.52,4.21,1.45
2018,1,21,6,6.14,4.09,1.41
2018,1,21,7,7.44,4.09,1.82
2018,1,21,8,9.51,4.03,2.74
2018,1,21,9,11.81,4.15,2.69
2018,1,21,10,14.57,4.15,3.13
2018,1,21,11,17.28,4.15,3.78
2018,1,21,12,18.48,4.15,4.14
2018,1,21,13,18.81,4.09,4.17
2018,1,21,14,18.69,4.03,4
2018,1,21,15,17.97,4.21,3.18
2018,1,21,16,15.19,4.82,1.64
2018,1,21,17,12.95,4.58,1.71
2018,1,21,18,12.33,4.39,1.95
2018,1,21,19,12.01,4.27,2.22
2018,1,21,20,11.66,4.15,2.48
2018,1,21,21,10.89,3.97,2.66
2018,1,21,22,9.65,3.85,2.68
2018,1,21,23,8.74,3.72,2.72
2018,1,22,0,7.94,3.66,2.66
2018,1,22,1,7.47,3.66,2.57
2018,1,22,2,7.22,3.66,2.38
2018,1,22,3,7.11,3.66,2.21
2018,1,22,4,7.02,3.66,2.22
2018,1,22,5,6.9,3.66,2.35
2018,1,22,6,6.57,3.72,2.41
2018,1,22,7,7.52,3.85,3.13
2018,1,22,8,9.27,4.09,3.51
2018,1,22,9,12.33,5,3.92
2018,1,22,10,15.65,6.29,5.33
2018,1,22,11,17.18,6.35,5.61
2018,1,22,12,18.22,6.35,5.85
2018,1,22,13,18.8,6.23,6.04
2018,1,22,14,18.99,6.23,6.04
2018,1,22,15,18.48,6.29,5.71
2018,1,22,16,16.83,6.53,4.18
2018,1,22,17,14.48,6.65,3.13
2018,1,22,18,13.92,6.65,3.34
2018,1,22,19,13.67,6.71,3.66
2018,1,22,20,13.39,6.71,3.75
2018,1,22,21,13.18,6.65,3.89
2018,1,22,22,12.64,6.65,3.82
2018,1,22,23,11.93,6.53,3.9
2018,1,23,0,11.28,6.41,3.93
2018,1,23,1,10.73,6.23,3.7
2018,1,23,2,10.28,6.16,3.4
2018,1,23,3,9.92,6.16,2.97
2018,1,23,4,9.19,6.29,2.32
2018,1,23,5,8.44,6.35,1.97
2018,1,23,6,7.69,6.29,1.82
2018,1,23,7,9.19,6.23,2.68
2018,1,23,8,11.55,6.16,3.45
2018,1,23,9,14.79,5.49,4.32
2018,1,23,10,16.52,5.25,4.53
2018,1,23,11,17.48,5.13,4.62
2018,1,23,12,17.96,5.19,4.6
2018,1,23,13,18.1,5.19,4.52
2018,1,23,14,17.9,5.31,4.42
2018,1,23,15,17.2,5.37,4.1
2018,1,23,16,15.45,5.68,2.61
2018,1,23,17,12.78,5.74,1.57
2018,1,23,18,12.08,5.74,1.5
2018,1,23,19,11.52,5.74,1.45
2018,1,23,20,11.04,5.8,1.43
2018,1,23,21,10.6,5.8,1.42
2018,1,23,22,10.17,5.86,1.4
2018,1,23,23,9.78,5.92,1.39
2018,1,24,0,9.54,5.92,1.39
2018,1,24,1,9.31,5.92,1.41
2018,1,24,2,9.12,5.92,1.45
2018,1,24,3,8.85,5.92,1.49
2018,1,24,4,8.58,5.92,1.54
2018,1,24,5,8.44,5.86,1.52
2018,1,24,6,8.18,5.86,1.48
2018,1,24,7,9.68,5.86,1.85
2018,1,24,8,11.73,5.86,2.53
2018,1,24,9,14.91,5.62,2.56
2018,1,24,10,17.05,5.31,2.72
2018,1,24,11,17.99,5.25,2.85
2018,1,24,12,18.53,5.25,2.98
2018,1,24,13,18.73,5.25,3.1
2018,1,24,14,18.43,5.31,3.16
2018,1,24,15,17.62,5.43,3.06
2018,1,24,16,15.87,5.86,2
2018,1,24,17,13.08,5.98,1.51
2018,1,24,18,12.23,6.1,1.6
2018,1,24,19,11.57,6.35,1.56
2018,1,24,20,10.92,6.53,1.44
2018,1,24,21,10.35,6.71,1.29
2018,1,24,22,9.81,6.9,1.17
2018,1,24,23,9.4,6.96,1.12
2018,1,25,0,9.05,7.08,1.11
2018,1,25,1,8.79,7.08,1.13
2018,1,25,2,8.68,7.08,1.27
2018,1,25,3,8.58,7.08,1.49
2018,1,25,4,8.77,7.08,1.79
2018,1,25,5,9.15,7.08,2.11
2018,1,25,6,9.41,6.96,2.81
2018,1,25,7,9.64,6.65,3.43
2018,1,25,8,10.86,6.35,4.4
2018,1,25,9,12.86,5.98,5.61
2018,1,25,10,14.24,5.62,6.03
2018,1,25,11,15.04,5.49,6.12
2018,1,25,12,15.48,5.43,6.17
2018,1,25,13,15.65,5.31,6.24
2018,1,25,14,15.42,5.19,6.29
2018,1,25,15,14.65,5.07,6.07
2018,1,25,16,13.41,5,5.1
2018,1,25,17,11.91,5,4.16
2018,1,25,18,11.07,4.94,4.14
2018,1,25,19,10.04,4.7,3.77
2018,1,25,20,8.96,4.52,3.39
2018,1,25,21,7.95,4.39,3.29
2018,1,25,22,7.02,4.33,3.16
2018,1,25,23,6.44,4.33,3.21
2018,1,26,0,6.02,4.39,3.16
2018,1,26,1,5.6,4.39,3.21
2018,1,26,2,5.15,4.39,3.26
2018,1,26,3,4.64,4.39,3.08
2018,1,26,4,4.27,4.39,3.16
2018,1,26,5,3.96,4.46,3.36
2018,1,26,6,3.64,4.46,3.53
2018,1,26,7,4.4,4.52,4.2
2018,1,26,8,6.82,4.64,4.46
2018,1,26,9,10.35,4.76,5.49
2018,1,26,10,12.8,4.82,6.3
2018,1,26,11,13.67,4.7,6.52
2018,1,26,12,14.17,4.64,6.56
2018,1,26,13,14.37,4.7,6.54
2018,1,26,14,14.37,4.7,6.56
2018,1,26,15,13.82,4.76,6.14
2018,1,26,16,12.7,4.76,4.59
2018,1,26,17,10.65,4.7,3.13
2018,1,26,18,9.45,4.64,2.78
2018,1,26,19,8.17,4.46,2.42
2018,1,26,20,7.08,4.33,2.16
2018,1,26,21,6.36,4.27,2.07
2018,1,26,22,5.88,4.33,2.14
2018,1,26,23,5.92,4.39,2.42
2018,1,27,0,6.08,4.52,2.56
2018,1,27,1,6.22,4.64,2.61
2018,1,27,2,6.37,4.7,2.62
2018,1,27,3,6.39,4.76,2.57
2018,1,27,4,6.24,4.82,2.43
2018,1,27,5,6.17,4.88,2.32
2018,1,27,6,5.97,4.88,2.23
2018,1,27,7,7.22,4.94,3.1
2018,1,27,8,9.07,5.07,3.21
2018,1,27,9,12.39,5.19,3.22
2018,1,27,10,15.13,5.07,3.5
2018,1,27,11,16.37,5,3.7
2018,1,27,12,16.85,5,3.97
2018,1,27,13,17.16,5,4.26
2018,1,27,14,17.11,5,4.38
2018,1,27,15,16.48,5.13,4.23
2018,1,27,16,14.88,5.31,2.95
2018,1,27,17,12.51,5.43,2.08
2018,1,27,18,12.07,5.55,2.25
2018,1,27,19,11.83,5.74,2.25
2018,1,27,20,11.3,5.92,2.03
2018,1,27,21,10.65,6.04,1.83
2018,1,27,22,9.75,6.04,1.71
2018,1,27,23,7.98,6.04,1.6
2018,1,28,0,7.08,5.98,1.62
2018,1,28,1,6.42,5.8,1.63
2018,1,28,2,5.83,5.62,1.62
2018,1,28,3,5.28,5.43,1.51
2018,1,28,4,4.83,5.25,1.41
2018,1,28,5,4.55,5.13,1.38
2018,1,28,6,4.42,5.07,1.35
2018,1,28,7,6.75,5.19,1.61
2018,1,28,8,9.74,5.25,2.46
2018,1,28,9,13.4,5.19,2.67
2018,1,28,10,15.88,5.07,3.11
2018,1,28,11,17.28,5.07,3.24
2018,1,28,12,18.19,5.07,3.46
2018,1,28,13,18.68,5.13,3.66
2018,1,28,14,18.65,5.19,3.74
2018,1,28,15,18.14,5.37,3.55
2018,1,28,16,15.87,5.8,1.86
2018,1,28,17,12.73,5.74,1.52
2018,1,28,18,11.94,5.74,1.84
2018,1,28,19,11.71,5.86,2.46
